Folio,Sector al que pertenece la empresa,Productos o servicios que produce o comercializa,Número de empleados,Entidad Federativa,Ciudad o Municipio,1. ¿Usted importa o utiliza alguno de los siguientes productos que sabe vienen del extranjero?,2. ¿Cómo adquiere las materias primas o productos que provienen del extranjero?,3. Si el peso se devaluará o su proveedor le subiera los precios ¿Cuál de las siguientes expresiones se acercaría más a la conducta que tomaría? ,4. Suponga que el tipo de cambio está hoy en 20.00 pesos por dólar o que usted compra materia prima a su proveedor a un costo de 20.00 por pieza ¿Cuánto debería devaluarse el peso o cuánto deberían subirle el precio sus proveedores para que usted decida subir sus precios?,5. Una vez que la devaluación o el aumento del precio de sus proveedores ha afectado sus costos ¿Cuánto tiempo tendría que pasar para que usted decida subir sus precios?,6. Una vez que usted decide subir sus precios ¿en qué porcentaje decide subirlos?,7. Si usted sube sus precios en un 10% como consecuencia de la devaluación o de que sus proveedores subieron sus precios ¿considera que sus ventas? ,8. Si usted sube sus precios por la devaluación o porque los proveedores le subieron precios ¿cuánto tiempo considera que tendría que pasar para que se vea reflejada una caída en sus ventas?,9. ¿Ha tenido que sacrificar ganancia ofreciendo precios más bajos a cambio de seguir vendiendo?,10. Cuando tiene que bajar sus precios para no perder ventas ¿utiliza alguna de las siguientes estrategias para aumentar sus ventas?,11. Del 1 al 4 qué capacidad considera que tiene su negocio para influir en el precio de los productos de la industria a la que pertenece. ,12. ¿Cuál de las siguientes expresiones se asemeja a su forma de actuar?,"13. Considerando el potencial que tiene su negocio para producir (agroindustria y sector industrial) o generar ventas (sector servicios y comercio), usando al máximo su maquinaria, mobiliario y equipo y siendo eficiente su personal en lo más posible ¿qué porcentaje en promedio de su capacidad ha utilizado en el último año?",14. En qué porcentaje promedio considera que ha ocupado el potencial de Maquinaria y Equipo de su empresa,15. ¿En qué porcentaje promedio considera que ha ocupado el potencial del personal de su empresa?,16. ¿Cuál es la razón del por qué no utiliza toda su capacidad?,17. Usted estaría dispuesto a subir los salarios de su personal solo si:,18. La razón del por qué no invierto más en mi negocio es:,19. Cuál de las siguientes expresiones se acerca más a usted:
592,Industria,Fabricación de Galletas de Avena,PEQUEÑA,Jalisco,ZAPOPAN,Materia prima para la producción,Mi proveedor u otra empresa los importa,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas",Más del 15% (pasar de 20.00 a más de 23),Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,2,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",100%-75%,74%-50%,74%-50%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
593,Industria,Pan,PEQUEÑA,Estado de México,TOLUCA,Todo lo que utilizo se produce en México,SR,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,15% pasar de 20.00 a 23,Entre 1 mes y 3 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Entre 1 y 3 meses,Sí,Ofrece crédito,1,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",100%-75%,74%-50%,74%-50%,No lo demanda el mercado,Si el salario mínimo aumenta,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
594,Comercio al por mayor,PLASTICOS,MEDIANA,Estado de México,CHIMALHUACAN,Materia prima para la producción,Mi empresa los importa (incluye a través de agencias aduanales),Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,Más del 15% (pasar de 20.00 a más de 23),Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Ofrece crédito,4,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,100%-75%,No tiene el dinero suficiente para producir más,Si el salario mínimo aumenta,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
595,Comercio al por menor,Publicidad impresa,MICRO,Estado de México,CHALCO,Materia prima para la producción,Mi proveedor u otra empresa los importa,Solo si mi competencia los sube yo también los subiré,Más del 15% (pasar de 20.00 a más de 23),De inmediato,Un porcentaje mayor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Menos de un mes,Sí,Busca diferenciarse de la competencia,2,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Si el salario mínimo aumenta,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
596,Servicios,papeleria varios,MICRO,Hidalgo,TULANCINGO,Materia prima para la producción,Mi proveedor u otra empresa los importa,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas",Menos de un 5% (pasar de 20.00 a menos de 21),Entre 1 mes y 3 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Se quedarán igual,No caerán,Sí,No ha usado ninguna estrategia,3,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,49%-25%,No lo demanda el mercado,Si el salario mínimo aumenta,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
597,Industria,"Fabricación de moldes, troqueles, espejos para tractocamion",MICRO,Hidalgo,ZEMPOALA,Materia prima para la producción,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,"5%, es decir pasar de 20.00 a 21",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,74%-50%,74%-50%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
598,Industria,Materias primas para mobiliario e industrias (espumas de poliuretano flexible y especialidades),PEQUEÑA,Estado de México,ECATEPEC,Materia prima para la producción,Mi proveedor u otra empresa los importa,"No pienso en subirlos porque tengo inventarios, hasta que se agoten mis inventarios y haga compras nuevas decidiré subirlos",Menos de un 5% (pasar de 20.00 a menos de 21),Menos de 1 mes,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,3,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
599,Industria,ANDAMIOS METÁLICOS,MICRO,Estado de México,TEPOTZOTLÁN,Todo lo que utilizo se produce en México,SR,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas",Más del 15% (pasar de 20.00 a más de 23),Más de 3 y menos de 6 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,100%-75%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
600,Comercio al por menor,Tornillería en general,MICRO,Estado de México,NEZAHUALCOYOTL,Materia prima para la producción,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Menos de 1 mes,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Menos de un mes,Sí,Ofrece crédito,1,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,74%-50%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
601,Industria,sacos de polipropileno,GRANDE,Estado de México,ATLACOMULCO,Materia prima para la producción,Mi empresa los importa (incluye a través de agencias aduanales),"No pienso en subirlos porque tengo inventarios, hasta que se agoten mis inventarios y haga compras nuevas decidiré subirlos",Menos de un 5% (pasar de 20.00 a menos de 21),Más de 3 y menos de 6 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,No caerán,Sí,No ha usado ninguna estrategia,3,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",100%-75%,74%-50%,74%-50%,Como estrategia por si llegaran pedidos extraordinarios,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
602,Servicios,publicidad grafica,MICRO,Guerrero,ZIHUATANEJO DE AZUETA,Materia prima para la producción,Mi proveedor u otra empresa los importa,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas",Menos de un 5% (pasar de 20.00 a menos de 21),Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,No,Busca diferenciarse de la competencia,2,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,SR,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
603,Industria,muebles tubulares y madera,PEQUEÑA,Jalisco,JALOSTOTITLAN,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,Más del 15% (pasar de 20.00 a más de 23),Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,3,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
604,Industria,SR,MEDIANA,Morelos,CUERNAVACA,Materia prima para la producción,Mi empresa los importa (incluye a través de agencias aduanales),Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"5%, es decir pasar de 20.00 a 21",Más de 3 y menos de 6 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Entre 1 y 3 meses,Sí,No ha usado ninguna estrategia,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Creo que las ventas serán malas y será difícil recuperar la inversión,Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
605,Industria,"Lámina Plástica para la industria electrónica, automotriz y empaque y embalaje...charolas de manejo de producto autopartes automotrices.",MEDIANA,Estado de México,NAUCALPAN,Materia prima para la producción,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,"5%, es decir pasar de 20.00 a 21",De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,No caerán,Sí,Busca diferenciarse de la competencia,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,49%-25%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Creo que las ventas serán malas y será difícil recuperar la inversión,Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
606,Industria,SR,GRANDE,San Luis Potosí,SAN LUIS POTOSI,Productos finales,Mi empresa los importa (incluye a través de agencias aduanales),Voy a subir mis precios de inmediato para no tener pérdidas,Menos de un 5% (pasar de 20.00 a menos de 21),De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,No,Busca diferenciarse de la competencia,3,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",100%-75%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Creo que las ventas serán malas y será difícil recuperar la inversión,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
607,Industria,Piezas de hierro dúctil ,MEDIANA,Nuevo León,PESQUERIA,Materia prima para la producción,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"5%, es decir pasar de 20.00 a 21",Menos de 1 mes,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Se quedarán igual,No caerán,Sí,Busca diferenciarse de la competencia,2,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
608,Industria,ARTICULOS PLASTICOS PARA INSTALACIONES ELECTRICAS,GRANDE,Veracruz,COATEPEC,Productos finales,Mi empresa los importa (incluye a través de agencias aduanales),Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,Un porcentaje mayor al de la devaluación o al que le subió el precio el proveedor,Se quedarán igual,Más de 6 meses,Sí,Busca diferenciarse de la competencia,3,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,100%-75%,No lo demanda el mercado,Si el salario mínimo aumenta,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
609,Industria,Equipos auxiliares eléctricos,PEQUEÑA,Oaxaca,CACAOTEPEC,Todo lo que utilizo se produce en México,SR,Voy a subir mis precios de inmediato para no tener pérdidas,"5%, es decir pasar de 20.00 a 21",Más de 3 y menos de 6 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,"Más de 3, pero menos de 6",Sí,Busca diferenciarse de la competencia,1,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Si el salario mínimo aumenta,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
610,Industria,Red de seguridad,PEQUEÑA,Querétaro,CORREGIDORA,Materia prima para la producción,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,Más del 15% (pasar de 20.00 a más de 23),Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,Entre 1 y 3 meses,No,Ofrece crédito,1,Si no tengo inventarios y hay un aumento temporal de la demanda subo mis precios,100%-75%,74%-50%,100%-75%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
